Transaction Date,Ticker,Full Name,Transaction,Amount (USD),Description
2022-01-21,APPLE INC.,AAPL,Purchase,"1,000,001 - 5,000,000",Exercised 100 Call Options
2022-01-21,AMERICAN EXPRESS COMPANY,AXP,Purchase,"250,001 - 500,000",Exercised 50 Call Options
2022-01-21,WALT DISNEY COMPANY,DIS,Purchase,"1,000,001 - 5,000,000",Exercised 100 Call Options
2022-01-21,"PAYPAL HOLDINGS, INC.",PYPL,Purchase,"500,001 - 1,000,000",Exercised 50 Call Options
2021-12-30,APPLE INC.,AAPL,Sale,"500,001 - 1,000,000","Contribution Of 3,000 Shares"
2021-12-30,APPLE INC.,AAPL,Sale,"500,001 - 1,000,000","Contribution Of 3,000 Shares"
2021-12-21,"MICRON TECHNOLOGY, INC.",MU,Purchase,"250,001 - 500,000",Purchased 100 Call Options
2021-12-20,SALESFORCE.COM INC,CRM,Purchase,"100,001 - 250,000",Purchased 30 Call Options
2021-12-20,SALESFORCE.COM INC,CRM,Purchase,"500,001 - 1,000,000",Purchased 100 Call Options
2021-12-20,ROBLOX CORPORATION CLASS A,RBLX,Purchase,"250,001 - 500,000",Purchased 100 Call Options
2021-12-17,WALT DISNEY COMPANY,DIS,Purchase,"100,001 - 250,000",Purchased 50 Call Options
2021-12-17,ALPHABET INC.,GOOG,Purchase,"500,001 - 1,000,000",Purchased 10 Call Options
2021-07-23,NVIDIA CORPORATION,NVDA,Purchase,"500,001 - 1,000,000","Purchased 5,000 Shares"
2021-07-23,NVIDIA CORPORATION,NVDA,Purchase,"250,001 - 500,000",Purchased 50 Call Options
2021-06-18,ALPHABET INC.,GOOGL,Purchase,"1,000,001 - 5,000,000",Exercised 40 Call Options
2021-06-03,NVIDIA CORPORATION,NVDA,Purchase,"1,000,001 - 5,000,000",Purchased 50 Call Options
2021-05-21,APPLE INC.,AAPL,Purchase,"100,001 - 250,000",Purchased 50 Call Options
2021-05-21,"AMAZON.COM, INC.",AMZN,Purchase,"500,001 - 1,000,000",Purchased 20 Call Options
2021-03-19,MICROSOFT CORPORATION,MSFT,Purchase,"1,000,001 - 5,000,000",Exercised 150 Call Options
2021-03-19,MICROSOFT CORPORATION,MSFT,Purchase,"1,000,001 - 5,000,000",Exercised 100 Call Options
2021-02-23,ALLIANCEBERNSTEIN HOLDING L.P. UNITS,AB,Purchase,"500,001 - 1,000,000","Purchased 25,000 Shares"
2021-02-18,ALLIANCEBERNSTEIN HOLDING L.P. UNITS,AB,Purchase,"500,001 - 1,000,000","Purchased 15,000 Shares"
2020-12-22,APPLE INC.,AAPL,Purchase,"250,001 - 500,000",Purchased 100 Call Options
2020-12-22,ALLIANCEBERNSTEIN HOLDING L.P. UNITS,AB,Purchase,"500,001 - 1,000,000","Purchased 20,000 Shares"
2020-12-22,WALT DISNEY COMPANY,DIS,Purchase,"500,001 - 1,000,000",Purchased 100 Call Options
2020-12-22,"TESLA, INC.",TSLA,Purchase,"500,001 - 1,000,000",Purchased 25 Call Options
2020-11-06,APPLE INC.,AAPL,Sale,"500,001 - 1,000,000","Contribution Of 4,500 Shares"
2020-09-03,"CROWDSTRIKE HOLDINGS, INC.",CRWD,Purchase,"500,001 - 1,000,000","Purchased 5,000 Shares"
2020-08-07,"FACEBOOK, INC.",FB,Sale,"1,000,001 - 5,000,000","Contribution Of 5,000 Shares"
